bowler_id,bowler,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
144,A Badoni,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
635,A Chopra,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
261,A Manohar,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
192,A Mukund,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
300,AA Bilakhia,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
620,AB Barath,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
209,AB de Villiers,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
147,AC Gilchrist,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
591,AD Nath,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
360,AK Markram,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
366,AM Rahane,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
150,AP Majumdar,-16.5,-34.916666666666664,0.0,0.0,-11.47826086956522,-84.61111111111111,0.0,0.0,-12.844444444444443,-68.0909090909091,0.0,0.0
