BatterName,OverNo,Dot,1,2,3,4,5,6,Wickets,TotalBalls
YBK Jaiswal,1,31,9,5,0,9,0,0,3,57
YBK Jaiswal,2,29,10,1,1,12,0,2,3,58
YBK Jaiswal,3,11,9,1,0,4,0,2,2,29
YBK Jaiswal,4,13,14,1,0,6,0,4,1,39
YBK Jaiswal,5,14,10,1,0,5,0,3,1,34
YBK Jaiswal,6,9,14,0,0,5,0,1,2,31
YBK Jaiswal,7,9,11,1,0,0,0,1,0,22
YBK Jaiswal,8,3,10,1,0,0,0,3,3,20
YBK Jaiswal,9,7,10,0,0,1,0,1,1,20
YBK Jaiswal,10,2,7,0,0,3,0,1,0,13
YBK Jaiswal,11,3,7,1,0,1,0,0,1,13
YBK Jaiswal,12,2,6,0,0,3,0,0,1,12
YBK Jaiswal,13,2,4,0,0,1,0,0,0,7
YBK Jaiswal,14,5,0,1,0,0,0,1,3,10
JC Buttler,1,85,39,4,0,30,0,7,2,167
JC Buttler,2,72,35,4,0,30,0,12,7,160
JC Buttler,3,72,30,9,1,29,0,16,9,166
JC Buttler,4,55,33,4,0,23,0,8,5,128
JC Buttler,5,57,33,4,0,15,0,8,2,119
JC Buttler,6,44,46,11,1,9,0,4,3,118
JC Buttler,7,31,40,8,0,11,0,3,3,96
JC Buttler,8,41,36,8,0,15,0,9,4,113
JC Buttler,9,27,42,14,0,9,0,4,1,97
JC Buttler,10,30,45,11,0,7,0,3,3,99
JC Buttler,11,27,39,6,0,8,0,5,3,88
JC Buttler,12,27,34,8,0,14,0,8,3,94
JC Buttler,13,21,31,4,1,5,0,2,6,70
JC Buttler,14,17,30,5,0,13,0,6,2,73
JC Buttler,15,22,30,8,1,5,0,13,4,83
JC Buttler,16,17,22,4,0,12,0,4,3,62
JC Buttler,17,18,18,4,0,8,0,5,3,56
JC Buttler,18,9,9,4,0,4,0,9,5,40
JC Buttler,19,11,3,7,0,1,0,5,2,29
SV Samson,1,55,18,6,2,17,0,3,4,105
SV Samson,2,73,38,4,1,23,0,5,5,149
SV Samson,3,72,46,10,2,24,0,7,4,165
SV Samson,4,87,56,8,1,20,0,7,11,190
SV Samson,5,95,67,7,2,25,0,7,7,210
SV Samson,6,57,94,16,0,16,0,13,4,200
SV Samson,7,67,95,16,2,14,0,14,7,215
SV Samson,8,58,86,14,2,16,0,11,8,195
SV Samson,9,58,91,10,1,10,0,9,8,187
SV Samson,10,37,80,7,0,14,0,10,7,155
SV Samson,11,56,64,16,1,7,0,11,9,164
SV Samson,12,44,59,9,0,10,0,3,4,129
SV Samson,13,35,58,15,0,13,0,8,9,138
SV Samson,14,30,52,15,0,13,0,6,3,119
SV Samson,15,24,50,9,0,15,0,11,4,113
SV Samson,16,28,40,8,0,7,0,6,11,100
SV Samson,17,24,21,5,0,13,0,15,8,86
SV Samson,18,13,13,5,0,4,0,6,1,42
SV Samson,19,11,6,5,0,6,0,5,3,36
D Padikkal,1,48,28,8,0,12,0,4,3,103
D Padikkal,2,54,29,5,0,22,0,4,5,119
D Padikkal,3,35,25,4,2,24,0,2,1,93
D Padikkal,4,40,25,7,0,8,0,1,4,85
D Padikkal,5,28,18,3,0,12,0,2,4,67
D Padikkal,6,15,26,1,0,6,0,0,1,49
D Padikkal,7,15,29,1,0,4,0,4,1,54
D Padikkal,8,23,28,6,0,3,0,3,0,63
D Padikkal,9,28,27,3,0,6,0,4,3,71
D Padikkal,10,22,22,6,0,5,0,1,2,58
D Padikkal,11,16,23,1,1,3,0,2,4,50
D Padikkal,12,19,19,1,0,0,0,3,1,43
D Padikkal,13,11,19,4,0,8,0,4,1,47
D Padikkal,14,16,13,2,0,8,0,1,3,43
D Padikkal,15,10,12,1,0,4,0,1,3,31
D Padikkal,16,10,6,2,0,2,0,0,4,24
D Padikkal,17,1,3,0,0,2,0,0,1,7
D Padikkal,18,3,1,0,0,0,0,0,2,6
SO Hetmyer,1,2,3,0,0,0,0,0,0,5
SO Hetmyer,2,11,4,0,0,0,0,1,0,16
SO Hetmyer,3,9,3,0,0,3,0,0,2,17
SO Hetmyer,4,4,3,0,0,1,0,1,0,9
SO Hetmyer,5,1,3,0,0,2,0,0,0,6
SO Hetmyer,6,3,1,0,0,1,0,0,1,6
SO Hetmyer,7,2,3,0,0,0,0,0,1,6
SO Hetmyer,8,5,2,1,1,0,0,1,0,10
SO Hetmyer,9,7,7,1,0,0,0,0,0,15
SO Hetmyer,10,3,7,0,0,0,0,2,1,13
SO Hetmyer,11,9,14,4,0,1,0,1,0,29
SO Hetmyer,12,18,18,6,0,3,0,4,1,50
SO Hetmyer,13,16,16,0,0,3,0,1,3,39
SO Hetmyer,14,22,23,3,0,9,0,5,1,63
SO Hetmyer,15,26,27,5,0,7,0,1,3,69
SO Hetmyer,16,20,20,6,0,7,0,6,4,63
SO Hetmyer,17,18,20,1,0,13,0,13,2,67
SO Hetmyer,18,15,22,10,0,1,0,9,4,61
SO Hetmyer,19,24,13,6,0,4,0,7,3,57
R Ashwin,1,1,0,0,0,2,0,0,0,3
