bowler,bowler_id,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
A Ashish Reddy,417,-1.2166193181818183,0.8461538461538467,0.2727272727272727,1.5,-0.7151771494216863,6.771551724137932,0.32679738562091504,2.0833333333333335,-12.758620689655173,23.0,0.3333333333333333,0.5
A Chandila,284,4.363636363636363,5.0,0.16666666666666666,0.5,-0.2994836488812398,-59.0,0.3855421686746988,3.2,1.5328870417838392,20.825,0.48951048951048953,4.117647058823529
A Choudhary,254,1.365384615384615,-7.75,0.2916666666666667,1.75,0.10975609756097704,-22.77777777777778,0.4146341463414634,2.125,3.8773584905660368,94.0,0.5,2.5714285714285716
A Flintoff,379,-3.9637681159420275,-11.0,0.13043478260869565,0.3333333333333333,0.569230769230769,-20.25,0.4666666666666667,7.0,-2.6694915254237284,17.5,0.25,1.0
A Kumble,483,1.5238095238095237,3.0638297872340434,0.35802469135802467,2.5217391304347827,0.760144527391228,-1.0706552706552692,0.37388724035608306,3.5492957746478875,2.5784825371336817,-2.7948717948717956,0.6037735849056604,5.333333333333333
A Mishra,578,0.31564436754548986,-1.6736111111111107,0.32653061224489793,1.797752808988764,0.5949943999979297,4.164263870685886,0.35730858468677495,3.2195121951219514,1.5181772279727337,4.745098039215684,0.4852941176470588,2.64
A Mithun,614,-3.525030036043252,3.5166666666666675,0.2987012987012987,1.0,-0.5594679186228486,-41.0,0.2887323943661972,1.7826086956521738,-2.125,-38.8,0.40625,1.7333333333333334
A Nehra,486,0.6996326835439177,3.275366568914956,0.3106796116504854,1.7582417582417582,0.1626256687293708,5.010180995475114,0.3568904593639576,2.4047619047619047,-0.34835852429709213,-2.855670103092784,0.49722222222222223,2.452054794520548
A Nel,195,2.695652173913043,17.0,0.6666666666666666,2.0,-3.340425531914893,17.5,0.16666666666666666,0.3333333333333333,-3.200000000000001,24.0,0.3333333333333333,1.0
A Nortje,226,1.3680084151472656,-2.132142857142858,0.3387096774193548,1.8666666666666667,-0.5289626387050799,10.055555555555555,0.4132231404958678,2.0,-0.5155892530471009,6.850574712643677,0.47796610169491527,2.517857142857143
A Singh,67,-1.5870017003589645,4.105882352941176,0.2911392405063291,1.2777777777777777,-0.5883876243696342,-19.416666666666668,0.391304347826087,2.25,0.31749241658240734,0.2788461538461533,0.4844961240310077,3.125
A Symonds,610,1.6870684243565588,-2.7727272727272734,0.2716049382716049,1.2222222222222223,-0.8161059330474627,-4.017295597484274,0.3322884012539185,2.3555555555555556,0.823263053629546,-0.9777777777777779,0.5585585585585585,4.428571428571429
A Uniyal,411,-1.0735294117647065,15.5,0.17647058823529413,0.75,-11.478260869565219,40.0,0.16666666666666666,0.3333333333333333,0.0,12.0,0.3333333333333333,1.3333333333333333
A Zampa,277,2.2959905660377355,20.3,0.3584905660377358,1.4615384615384615,-0.6491065168368992,1.6926406926406905,0.3053097345132743,3.1363636363636362,10.226086956521739,18.0,0.4,1.0
AA Chavan,392,-4.322981366459626,6.833333333333333,0.2857142857142857,0.6666666666666666,-2.6273242570323667,-22.095238095238095,0.27906976744186046,1.411764705882353,0.643096034400382,-29.941176470588236,0.5217391304347826,3.4285714285714284
AA Jhunjhunwala,361,-7.636363636363637,10.0,0.0,0.0,-0.6576819407008081,-36.84615384615385,0.3018867924528302,2.0,-1.3888888888888884,-12.0,0.36666666666666664,1.5714285714285714
AA Noffke,230,13.5,6.0,0.4166666666666667,2.5,3.085106382978724,41.0,0.0,0.0,-12.844444444444443,22.0,0.2,0.3333333333333333
AB Agarkar,581,-1.5039199581871117,-6.695238095238096,0.22598870056497175,1.0526315789473684,-0.3784536800557241,6.536324786324787,0.33171912832929784,2.0757575757575757,-2.368417168859919,-3.654761904761905,0.44508670520231214,1.5714285714285714
AB Dinda,112,-1.5294820122406314,2.0024855012427505,0.26354679802955666,1.009433962264151,1.6763401694512625,-2.5916083916083927,0.3835616438356164,3.8620689655172415,0.3873677233020043,5.274904214559388,0.5119196988707654,2.7019867549668874
AB McDonald,237,-1.1647058823529406,1.9444444444444446,0.3,1.2857142857142858,-0.9177209030751259,4.388888888888889,0.24107142857142858,1.8,-2.6842105263157894,5.0,0.3333333333333333,1.5555555555555556
AC Thomas,461,-1.1034482758620676,-8.666666666666666,0.18018018018018017,0.9523809523809523,0.9157894736842103,56.0,0.36363636363636365,2.6666666666666665,1.4310559006211179,6.875,0.56,3.3793103448275863
AC Voges,493,3.454545454545455,5.0,0.16666666666666666,0.5,-0.9159420289855076,-16.833333333333332,0.25,2.25,-4.0593220338983045,2.75,0.4166666666666667,0.7142857142857143
AD Mascarenhas,444,-0.7876254180602,-1.5,0.23076923076923078,1.5,0.9330754352030954,1.5,0.34545454545454546,3.8,-0.5882590765747544,9.08974358974359,0.4819277108433735,2.7586206896551726
AD Mathews,565,0.3493901497606924,-3.204761904761906,0.24836601307189543,1.52,-0.3854724413606645,-15.977272727272727,0.2714570858283433,1.8888888888888888,-2.5782905580409707,4.242424242424242,0.4032258064516129,1.6666666666666667
