batter,bowler,dot_percent_death,boundary_percent_death,runsperwicket_death,runsperball_death,dot_percent_middle,boundary_percent_middle,runsperwicket_middle,runsperball_middle,dot_percent_powerplay,boundary_percent_powerplay,runsperwicket,runsperball_powerplay
A Ashish Reddy,A Nehra,0.5,0.125,7.0,0.875,0.5,0.125,7.0,0.875,0.5,0.125,7.0,0.875
A Ashish Reddy,AB Dinda,0.1428571428571428,0.1428571428571428,9.0,1.2857142857142858,0.1428571428571428,0.1428571428571428,9.0,1.2857142857142858,0.1428571428571428,0.1428571428571428,9.0,1.2857142857142858
A Ashish Reddy,AD Mathews,0.1666666666666666,0.25,25.0,2.083333333333333,0.1666666666666666,0.25,25.0,2.083333333333333,0.1666666666666666,0.25,25.0,2.083333333333333
A Ashish Reddy,AD Russell,0.0,0.0,4.0,1.3333333333333333,0.0,0.0,4.0,1.3333333333333333,0.0,0.0,4.0,1.3333333333333333
A Ashish Reddy,Anureet Singh,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0
A Ashish Reddy,Azhar Mahmood,0.3333333333333333,0.0,2.0,0.6666666666666666,0.3333333333333333,0.0,2.0,0.6666666666666666,0.3333333333333333,0.0,2.0,0.6666666666666666
A Ashish Reddy,BW Hilfenhaus,0.5,0.0,2.0,1.0,0.5,0.0,2.0,1.0,0.5,0.0,2.0,1.0
A Ashish Reddy,CH Morris,0.2,0.2,11.0,2.2,0.2,0.2,11.0,2.2,0.2,0.2,11.0,2.2
A Ashish Reddy,DJ Bravo,0.3076923076923077,0.3076923076923077,24.0,1.8461538461538465,0.3076923076923077,0.3076923076923077,24.0,1.8461538461538465,0.3076923076923077,0.3076923076923077,24.0,1.8461538461538465
A Ashish Reddy,Harbhajan Singh,0.375,0.125,11.0,1.375,0.375,0.125,11.0,1.375,0.375,0.125,11.0,1.375
A Ashish Reddy,J Botha,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A Ashish Reddy,JEC Franklin,0.3333333333333333,0.0,3.0,1.0,0.3333333333333333,0.0,3.0,1.0,0.3333333333333333,0.0,3.0,1.0
A Ashish Reddy,JP Duminy,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
A Ashish Reddy,JP Faulkner,0.5,0.0,2.0,1.0,0.5,0.0,2.0,1.0,0.5,0.0,2.0,1.0
A Ashish Reddy,KA Pollard,0.3333333333333333,0.0,3.0,1.0,0.3333333333333333,0.0,3.0,1.0,0.3333333333333333,0.0,3.0,1.0
A Ashish Reddy,KK Cooper,0.2,0.2,8.0,1.6,0.2,0.2,8.0,1.6,0.2,0.2,8.0,1.6
A Ashish Reddy,MR Marsh,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0
A Ashish Reddy,P Awana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A Ashish Reddy,P Kumar,0.25,0.25,6.0,1.5,0.25,0.25,6.0,1.5,0.25,0.25,6.0,1.5
