venue_name,Matches,total_run,Dot_Balls,isWicketDelivery,delivery,Fours,Sixes,Average Score,Dot Ball Percentage,Average Wickets Fallen,Boundary Frequency
Arun Jaitley Stadium,18,6052,1623,205,4344,494,266,167.18232044198896,0.3736187845303867,5.662983425414365,0.17495395948434622
Barabati Stadium,7,2278,624,80,1695,215,68,161.27433628318582,0.368141592920354,5.663716814159292,0.16696165191740414
Brabourne Stadium,27,9305,2567,331,6526,875,333,171.10021452650935,0.393349678210236,6.08642353662274,0.185105730922464
Buffalo Park,3,799,314,38,715,56,27,134.0979020979021,0.43916083916083914,6.3776223776223775,0.11608391608391608
De Beers Diamond Oval,3,897,295,39,726,62,34,148.26446280991735,0.40633608815426997,6.446280991735537,0.1322314049586777
Dr DY Patil Sports Academy,37,11383,3861,470,8898,912,458,153.51314902225218,0.4339177343223196,6.338503034389751,0.1539671836367723
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,3746,1279,163,3037,291,154,148.01448798156076,0.42113928218636815,6.440566348370102,0.1465261771485018
Dubai International Cricket Stadium,46,14450,4397,545,11229,1189,495,154.42158696232968,0.39157538516341617,5.8242051830082815,0.14996883070620715
Eden Gardens,79,24437,7557,897,18496,2240,897,158.54455017301038,0.4085748269896194,5.819636678200692,0.16960423875432526
Feroz Shah Kotla,60,18421,5478,697,13950,1660,636,158.46021505376345,0.39268817204301076,5.995698924731183,0.1645878136200717
Green Park,4,1298,360,49,921,151,36,169.12052117263843,0.39087947882736157,6.384364820846906,0.20304017372421282
Himachal Pradesh Cricket Association Stadium,9,2897,989,104,2159,299,108,161.01899027327465,0.45808244557665584,5.780453913849004,0.1885132005558129
Holkar Cricket Stadium,9,2872,752,92,1965,222,155,175.38931297709922,0.3826972010178117,5.618320610687023,0.19185750636132315
JSCA International Stadium Complex,7,2056,691,81,1671,154,76,147.64811490125675,0.4135248354278875,5.816876122082585,0.13764213046080193
Kingsmead,15,4353,1560,201,3643,361,130,143.38731814438648,0.4282185012352457,6.620916826791106,0.13477902827340105
M Chinnaswamy Stadium,65,20263,6144,743,14907,1744,861,163.1153149527068,0.4121553632521634,5.981082712819481,0.17475011739451266
M.Chinnaswamy Stadium,15,5127,1323,179,3494,409,256,176.0847166571265,0.37864911276473956,6.14768174012593,0.19032627361190613
MA Chidambaram Stadium,67,20878,6497,797,16351,1697,710,153.2236560455018,0.39734572809002505,5.849183536175158,0.14720812182741116
Maharashtra Cricket Association Stadium,35,11115,3342,434,8414,875,464,158.5215117661041,0.39719515093891133,6.189683860232946,0.1591395293558355
Narendra Modi Stadium,7,2138,640,77,1640,165,90,156.4390243902439,0.3902439024390244,5.634146341463414,0.15548780487804878
Nehru Stadium,5,1363,505,62,1155,123,39,141.6103896103896,0.43722943722943725,6.441558441558442,0.14025974025974025
New Wanderers Stadium,8,2292,829,92,1940,185,64,141.77319587628867,0.42731958762886596,5.690721649484535,0.1283505154639175
Newlands,7,1797,717,93,1539,146,63,140.1169590643275,0.46588693957115007,7.251461988304094,0.13580246913580246
OUTsurance Oval,2,529,239,25,500,42,8,126.96000000000001,0.478,6.0,0.1
Punjab Cricket Association IS Bindra Stadium,21,7021,1686,219,5003,628,219,168.40295822506496,0.3369978013192085,5.252848291025385,0.16929842094743155
Punjab Cricket Association Stadium,35,10987,3231,411,8266,1040,307,159.5015727074764,0.39087829663682555,5.966610210500847,0.16295669005564964
Rajiv Gandhi International Stadium,64,19519,6047,755,15213,1662,660,153.9656872411753,0.39748898967987906,5.955432853480575,0.1526326168408598
Sardar Patel Stadium,12,3767,1111,145,2893,306,130,156.25302454199795,0.3840304182509506,6.014517801590045,0.15070860698237123
Saurashtra Cricket Association Stadium,10,3333,835,109,2381,306,104,167.97984040319193,0.3506929861402772,5.4934901301973955,0.17219655606887863
Sawai Mansingh Stadium,47,14264,4502,518,11150,1349,363,153.5139013452915,0.40376681614349774,5.574887892376681,0.15354260089686098
Shaheed Veer Narayan Singh International Stadium,6,1741,600,60,1431,161,44,145.99580712788259,0.4192872117400419,5.031446540880504,0.143256464011181
Sharjah Cricket Stadium,28,8583,2673,322,6672,593,394,154.3705035971223,0.4006294964028777,5.79136690647482,0.147931654676259
Sheikh Zayed Stadium,29,8857,2694,329,6925,782,255,153.47870036101085,0.38902527075812277,5.701083032490974,0.14974729241877258
St George's Park,7,2033,695,77,1677,151,62,145.47406082289802,0.41443053070960045,5.509838998211091,0.12701252236135957
Subrata Roy Sahara Stadium,16,4528,1535,183,3825,362,138,142.05490196078432,0.4013071895424837,5.741176470588235,0.13071895424836602
SuperSport Park,12,3653,1210,133,2866,318,120,152.95184926727146,0.42219120725750175,5.568736915561758,0.15282623866015352
Vidarbha Cricket Association Stadium,3,882,320,48,742,66,26,142.64150943396226,0.431266846361186,7.762803234501348,0.12398921832884097
Wankhede Stadium,104,33708,10354,1255,25121,2981,1343,161.0190677122726,0.4121651208152542,5.994984276103659,0.17212690577604395
Zayed Cricket Stadium,8,2475,702,93,1874,228,73,158.4845250800427,0.37459978655282816,5.955176093916755,0.16061899679829242
