batter_id,batter,Active Ratio_death,Striking Ratio_death,True SR_death,True Avg_death,Active Ratio_middle,Striking Ratio_middle,True SR_middle,True Avg_middle,Active Ratio_powerplay,Striking Ratio_powerplay,True SR_powerplay,True Avg_powerplay
154,A Ashish Reddy,0.75,0.219047619,0.070404506,-0.830952381,0.609756098,0.24137931,50.19391537,45.5,0.333333333,0.2,-27.47747748,-15.5
144,A Badoni,0.707692308,0.260869565,-10.97902098,-1.329411765,0.603448276,0.125,-17.66047745,-0.754385965,0.166666667,0.0,-70.1754386,-8.428571429
635,A Chopra,0.5,0.0,-203.5714286,-34.5,0.482758621,0.125,-16.18831303,-16.0,0.384615385,0.114285714,-18.20378574,-3.2
37,A Flintoff,0.764705882,0.230769231,22.46865959,15.5,0.727272727,0.105263158,-35.09418509,-2.833333333,0.363636364,0.25,22.00956938,-6.0
261,A Manohar,0.625,0.347826087,-15.29605263,-9.023529412,0.741935484,0.304347826,11.97326359,-4.666666667,0.5,0.2,-2.777777778,-0.333333333
235,A Mishra,0.6367713,0.143646409,-21.19091704,-1.210388095,0.56,0.058823529,-16.19251337,6.323529412,0.2,0.0,-85.26315789,-12.33333333
192,A Mukund,0.0,0.0,-137.5,-11.0,0.666666667,0.0,-29.62962963,-25.5,0.666666667,0.076923077,-47.69230769,-41.0
50,A Symonds,0.758426966,0.276422764,7.991875827,6.52417795,0.644210526,0.191135734,16.03813261,21.16615385,0.382716049,0.184615385,-24.33862434,53.65714286
300,AA Bilakhia,0.741935484,0.125,-18.32474925,5.692307692,0.473684211,0.0,-77.36842105,-18.83333333,0.419354839,0.08,-66.15732881,-9.0
16,AA Jhunjhunwala,0.673469388,0.27027027,4.175105157,-3.308333333,0.596774194,0.108910891,-14.6,-5.378787879,0.393939394,0.1,-29.96331023,9.6875
288,AB Agarkar,0.786516854,0.181818182,-8.066409525,8.646511628,0.488888889,0.076923077,-1.648091861,4.904761905,0.461538462,0.333333333,29.45590994,3.0
620,AB Barath,0.4,0.0,-69.09090909,-22.0,0.52173913,0.157894737,-22.3658441,-21.75,0.538461538,0.3,-17.09401709,-38.0
131,AB McDonald,0.725806452,0.152173913,-17.3313783,8.777777778,0.75,0.0,-2.236238532,0.0,0.444444444,0.5,42.34234234,7.0
209,AB de Villiers,0.81242236,0.613636364,46.59638388,21.99203911,0.722567288,0.181575434,9.601543766,11.9107394,0.512355848,0.260869565,0.597492845,12.97560349
147,AC Gilchrist,0.851851852,0.588235294,77.15355805,43.14285714,0.651219512,0.262458472,21.86896502,-7.905581638,0.519480519,0.327348066,17.63512602,0.315616798
422,AC Voges,0.843137255,0.264705882,12.5,24.0,0.675324675,0.140350877,-1.425893694,9.03030303,0.444444444,0.125,-27.62762763,-2.75
443,AD Mascarenhas,0.75,0.103448276,-22.99180328,-6.653846154,0.542857143,0.0625,-33.24116743,-4.647058824,0.5,1.0,117.9487179,-4.0
574,AD Mathews,0.747252747,0.256544503,-4.27104675,-0.292207792,0.65942029,0.09787234,-6.869507014,9.884444444,0.235294118,0.066666667,-26.04489164,1.4
591,AD Nath,0.48,0.142857143,-50.70967742,-5.25,0.580645161,0.094339623,-23.22288717,-11.70833333,0.545454545,0.1,0.0,-7.75
28,AD Russell,0.657794677,0.482352941,30.89377258,8.507189542,0.587219344,0.334939759,28.75404982,13.41883598,0.647058824,0.888888889,115.8600149,23.0
67,AJ Finch,0.701149425,0.315789474,-3.334658865,-4.957142857,0.685758514,0.225609756,17.14158365,4.469918699,0.503328895,0.254867257,1.73087563,-3.140447154
360,AK Markram,0.818181818,0.384615385,31.50603782,8.781818182,0.729241877,0.165919283,-9.942279059,11.30405405,0.361111111,0.09375,-28.63984674,7.933333333
397,AL Menaria,0.61038961,0.186440678,-5.681818182,-4.112121212,0.61423221,0.131221719,-3.708113203,2.240740741,0.375,0.142857143,-7.75862069,-17.0
79,AM Nayar,0.735135135,0.344262295,21.62906879,2.391237113,0.622895623,0.09561753,-13.29614133,-5.067346939,0.420289855,0.142857143,-13.04347826,-1.434782609
366,AM Rahane,0.766233766,0.266055046,-11.62829901,-0.90524968,0.743670886,0.143286573,0.080534249,5.723132969,0.540262707,0.228951256,-4.102052633,-2.207792208
150,AP Majumdar,0.666666667,0.0,0.0,-3.0,0.684210526,0.108695652,20.11202706,15.0,0.571428571,0.444444444,36.30136986,9.142857143
171,AP Tare,0.653846154,0.352941176,2.179487179,-1.375,0.666666667,0.366666667,17.93364507,-23.85714286,0.489795918,0.228187919,1.020408163,-5.282051282
459,AR Patel,0.751173709,0.236245955,1.859323666,1.355481245,0.630841121,0.130193906,0.654954126,6.140909091,0.538461538,0.090909091,-72.67628205,-9.133333333
86,AS Raut,0.640776699,0.141176471,-16.33096653,2.71042471,0.620689655,0.152173913,7.949673812,0.614864865,0.5,0.25,19.36936937,-11.0
9,AT Rayudu,0.768,0.33411215,8.556362198,0.967201552,0.686440678,0.163945134,4.105451503,8.023187143,0.488919668,0.19897084,0.595680839,16.46805195
543,AUK Pathan,0.5,0.428571429,-14.31034483,-10.9,0.5,0.2,20.38288288,-10.75,0.6,1.5,190.8108108,3.0
472,Abdul Samad,0.652631579,0.28125,24.47928331,0.658805031,0.698412698,0.148148148,10.53698075,-0.75,0.5,0.0,-50.0,-28.0
642,Abhishek Sharma,0.735632184,0.227272727,4.369355501,0.909722222,0.697142857,0.187969925,18.59149357,-3.441176471,0.549107143,0.308176101,12.85910022,3.31547619
156,Anirudh Singh,0.5,0.1,32.47978437,2.5,0.625,0.107142857,-11.81818182,-8.6,0.4,0.1875,18.94736842,9.0
129,Ankit Sharma,0.705882353,0.192307692,12.48081841,-0.266666667,0.7,0.142857143,9.759036145,-10.63636364,0.391304348,0.294117647,3.877790834,-15.0
314,Anuj Rawat,0.666666667,0.5,46.96969697,-6.5,0.777777778,0.181818182,-9.840654608,-18.0,0.407407407,0.166666667,-3.747795414,-4.640350877
473,Azhar Mahmood,0.571428571,0.272727273,-3.89333658,-0.770562771,0.701657459,0.215827338,6.321182753,6.089285714,0.363636364,0.222222222,-7.52688172,3.818181818
354,B Chipli,0.821428571,0.378378378,39.23493568,82.70588235,0.623931624,0.131313131,1.693885204,-1.906565657,0.364864865,0.123076923,-29.93797076,-13.54761905
453,B Sai Sudharsan,0.75,0.3,39.0625,15.57142857,0.739130435,0.163636364,-4.084321476,11.38888889,0.6,0.2,-16.07017544,-1.2
82,BA Stokes,0.75862069,0.328947368,13.25056584,-2.914529915,0.718085106,0.164948454,5.934640568,5.0625,0.538888889,0.287878788,1.718531817,3.042857143
441,BB McCullum,0.819148936,0.383333333,24.86745163,2.331168831,0.668646081,0.217987805,6.70040058,-4.410101446,0.503367003,0.285067873,3.178038892,-5.665248545
217,BB Samantray,0.75862069,0.285714286,-29.03605016,-3.0,0.633333333,0.145833333,5.993883792,10.6,0.380952381,0.111111111,10.90225564,8.428571429
471,BJ Hodge,0.770718232,0.317991632,5.845483376,4.184803922,0.636678201,0.143162393,2.115221346,18.4462963,0.41509434,0.169230769,-15.80179242,4.029649596
196,BJ Rohrer,0.852941176,0.631578947,37.41623232,40.5,0.588235294,0.184210526,-0.542986425,-1.533333333,0.0,0.0,-122.7272727,-18.0
500,C Munro,0.6,0.0,-78.06451613,-12.33333333,0.511111111,0.125,-16.33434038,-9.75,0.561797753,0.34375,7.60056755,-4.431818182
275,C de Grandhomme,0.678899083,0.197530864,-12.96559633,4.371428571,0.62037037,0.223529412,33.67526576,6.910714286,0.5,0.0,-86.11111111,-15.33333333
291,CA Ingram,0.69047619,0.3,4.04040404,0.034782609,0.571428571,0.164948454,-2.90706026,-3.285714286,0.5,0.142857143,-20.60810811,-3.142857143
242,CA Lynn,0.666666667,0.12,-36.50494583,-7.589473684,0.689373297,0.204225352,10.55817275,1.582352941,0.526415094,0.355263158,6.131314668,13.97058824
282,CA Pujara,0.609756098,0.147058824,-44.35202877,-7.028571429,0.704347826,0.135416667,-18.98518447,0.880952381,0.431111111,0.198895028,-12.45780004,-0.810344828
428,CH Gayle,0.745387454,0.485875706,31.36910316,4.654166667,0.669592977,0.28042328,25.48891869,9.943478261,0.478060046,0.3203125,15.7201925,3.71040724
103,CH Morris,0.753378378,0.293532338,16.89132218,9.734033613,0.549450549,0.173333333,11.02294936,-2.62254902,0.833333333,1.5,121.1711712,2.0
504,CJ Anderson,0.666666667,0.323943662,3.66469732,0.411111111,0.578740157,0.197969543,-4.753547373,8.083333333,0.35,0.176470588,-7.064676617,2.172413793
408,CJ Ferguson,0.565217391,0.157894737,-6.12244898,1.1,0.550724638,0.070175439,-19.53484336,-7.125,0.416666667,0.095238095,-12.04954955,6.777777778
31,CL White,0.837696335,0.338461538,13.20728462,14.86,0.635955056,0.148760331,-0.400846842,3.222222222,0.477876106,0.150537634,-0.782437576,-0.301242236
218,CM Gautam,0.634146341,0.3,-6.176239182,16.15217391,0.56097561,0.125,10.85583624,0.3,0.431034483,0.227272727,5.211304122,-11.23333333
238,D Padikkal,0.641509434,0.219512195,-37.51790273,-13.04,0.676605505,0.188405797,3.367711348,-2.2775,0.549800797,0.262734584,2.517506575,-6.086549708
11,DA Miller,0.769366197,0.36239782,15.9312238,7.783333333,0.683085502,0.160188457,0.908539579,24.29076923,0.483870968,0.1375,-20.06108036,0.277777778
33,DA Warner,0.771428571,0.432291667,21.07044471,4.115424431,0.733372229,0.19453125,12.77283597,9.531468531,0.56781721,0.31297186,10.47421376,8.209290227
407,DB Das,0.703296703,0.2,-4.538191115,5.662790698,0.537735849,0.181818182,13.71491993,47.36666667,0.41509434,0.219512195,7.66405076,2.394736842
533,DB Ravi Teja,0.719298246,0.25,6.91126038,-0.386666667,0.661654135,0.14953271,-0.799510087,27.72727273,0.50877193,0.145833333,-42.46727931,-16.16666667
363,DJ Bravo,0.765285996,0.345794393,13.49866204,3.275621891,0.554954955,0.113490364,-10.7016107,1.448529412,0.448598131,0.243902439,8.147978022,9.731578947
130,DJ Hooda,0.735714286,0.207729469,-7.137681159,-3.810440168,0.698555957,0.174418605,9.242467264,7.076831447,0.471264368,0.191176471,-10.30277544,72.70588235
542,DJ Hussey,0.726457399,0.342281879,14.41300855,1.654121864,0.638655462,0.128378378,-12.15139714,1.431273644,0.486725664,0.255813953,18.71194803,30.46666667
336,DJG Sammy,0.641304348,0.246376812,-1.394403021,-3.217758985,0.607407407,0.126126126,1.55198223,13.57857143,0.4,0.666666667,81.62162162,2.2
41,DP Conway,0.866666667,0.272727273,-1.025641026,9.428571429,0.7625,0.381818182,39.00442478,31.875,0.569444444,0.186440678,-9.595959596,-9.111111111
536,DPMD Jayawardene,0.765217391,0.322580645,2.404832316,8.0625,0.663407821,0.146086957,-5.905703876,1.531310345,0.518595041,0.292011019,6.250358892,3.657054126
75,DR Martyn,0.666666667,0.5,120.0,2.666666667,0.722222222,0.0,-13.23232323,-2.666666667,0.333333333,0.0,-46.15384615,-30.0
416,DR Sams,0.5,0.157894737,-38.92857143,-15.22285714,0.642857143,0.090909091,-2.282333052,-7.153846154,0.166666667,0.0,-75.64102564,-8.0
23,DR Smith,0.691588785,0.269230769,16.31995024,-1.127717391,0.650529501,0.284836066,26.70685012,1.421052632,0.49466951,0.290882779,-1.529187182,5.716049383
386,DT Christian,0.706976744,0.198717949,-10.05571705,-0.437634409,0.636363636,0.065789474,-13.02773498,4.087719298,0.375,0.0,-74.82876712,-17.5
333,E Lewis,0.631578947,0.384615385,2.764486975,-0.8,0.602409639,0.169117647,-11.09768415,-5.888235294,0.538732394,0.348258706,13.40879634,-1.942307692
340,EJG Morgan,0.713333333,0.328358209,16.00352734,2.018947368,0.605769231,0.163708087,-0.847519423,3.785714286,0.407407407,0.177631579,-9.666185666,7.122807018
281,F du Plessis,0.781021898,0.401162791,17.87790036,-1.699726027,0.734133791,0.132978723,-3.477356519,7.836977104,0.554376658,0.272511848,9.061560726,10.40108225
372,FY Fazal,0.71875,0.185185185,-19.95967742,-1.666666667,0.716666667,0.14,-8.511904762,1.157894737,0.52,0.183333333,-17.73021182,5.555555556
478,G Gambhir,0.711956522,0.265625,-7.248849978,-2.970542636,0.738148984,0.166828322,1.846444631,0.29408457,0.57654185,0.251655629,-0.955623007,2.982155887
380,GC Smith,0.769230769,0.4,-19.00452489,-10.0,0.693965517,0.174863388,-12.87631518,-12.35795455,0.467191601,0.194719472,-16.21455972,-6.363095238
137,GD Phillips,0.714285714,0.5,43.75,-11.0,0.333333333,0.0625,-22.22222222,-6.0,0.0,0.0,-47.22222222,-4.25
447,GH Vihari,0.671641791,0.156862745,-15.79563,-4.214285714,0.621118012,0.078571429,-15.10506145,0.304597701,0.431818182,0.064102564,-34.14219391,-1.027777778
490,GJ Bailey,0.810055866,0.350877193,24.64885035,13.67272727,0.621145374,0.071428571,-24.65513361,-8.471283784,0.459677419,0.244897959,-2.67342278,25.12121212
92,GJ Maxwell,0.712280702,0.4,1.58185519,-1.743908046,0.684095861,0.293577982,30.41101404,3.580651815,0.541501976,0.324175824,11.82985383,2.107843137
356,Gurkeerat Singh,0.737179487,0.313043478,14.17474682,3.703482587,0.623853211,0.13559322,-12.31744611,-0.754409769,0.405405405,0.206896552,-34.81717011,22.0
297,H Klaasen,0.774193548,0.227272727,-2.09145693,5.75,0.5,0.0,-47.79116466,-19.14285714,0.615384615,0.1,-40.57971014,-3.2
305,HH Gibbs,0.863636364,0.25,16.88311688,51.45454545,0.616766467,0.132841328,-5.424108305,-0.552201258,0.454094293,0.222222222,-15.1820376,-2.840277778
64,HH Pandya,0.72143975,0.357466063,10.64449524,6.846616541,0.663716814,0.192743764,3.171091445,9.055405405,0.436893204,0.164705882,-26.42302358,12.0
511,HM Amla,0.78,0.777777778,45.31914894,29.5,0.751633987,0.155737705,-16.50970099,-9.733333333,0.582474227,0.282758621,5.417946035,8.227272727
627,Harbhajan Singh,0.638190955,0.314685315,7.491500809,1.492753623,0.5,0.181818182,-2.506213753,1.263318113,0.52,0.264705882,13.9122807,3.933333333
292,IK Pathan,0.719339623,0.294520548,8.227535309,5.181752874,0.631205674,0.070652174,-19.00973622,-0.614238411,0.573529412,0.28,20.35905271,9.843137255
115,IR Jaggi,0.714285714,0.0,-43.20843091,-3.6,0.533333333,0.078947368,-7.724230254,-1.242424242,0.416666667,0.09375,-32.76550031,8.181818182
560,Ishan Kishan,0.730769231,0.451219512,27.82837128,-1.690196078,0.688022284,0.180555556,5.262447623,2.139022052,0.511970534,0.265206813,-0.118088651,27.99666667
494,J Botha,0.716666667,0.2,-6.017179024,-2.5,0.666666667,0.138686131,-0.032401782,1.576923077,0.37254902,0.170731707,-8.085776116,25.8
348,JA Morkel,0.733502538,0.268551237,0.543015204,1.738095238,0.606870229,0.175609756,1.602245899,7.481012658,0.75,0.333333333,55.04201681,6.7
427,JC Archer,0.704761905,0.283783784,7.380952381,4.956349206,0.5,0.25,12.18181818,-11.0952381,0.0,0.0,-125.0,-45.0
553,JC Buttler,0.74137931,0.467625899,20.12436405,5.5,0.705732484,0.233449477,11.35342136,11.54195602,0.535414166,0.357627119,16.78715471,18.06730769
589,JD Ryder,0.714285714,0.263157895,-41.00985222,-72.0,0.722772277,0.141176471,6.16422298,-11.29777778,0.542857143,0.312217195,26.27729545,-0.417004049
34,JEC Franklin,0.8,0.260869565,6.720647773,5.723684211,0.673913043,0.094827586,5.965744401,21.94444444,0.43956044,0.144736842,-10.0980101,-9.523809524
527,JH Kallis,0.744493392,0.375838926,15.75379655,-1.938095238,0.677744209,0.091121495,-17.54151756,0.18844086,0.48024948,0.21664465,-1.670509345,2.673658733
289,JJ Roy,0.727272727,0.4,22.87157287,-62.0,0.746031746,0.191489362,2.390514439,11.07142857,0.539877301,0.266129032,-2.976901223,-4.625
423,JM Bairstow,0.612244898,0.166666667,-12.07550214,-2.138392857,0.694148936,0.230215827,19.06839134,7.298850575,0.554112554,0.365325077,14.66054271,-7.590277778
621,JM Kemp,0.5,0.0,-92.30769231,-14.5,0.615384615,0.25,19.3006993,-17.0,0.666666667,0.0,-27.77777778,-6.5
