batter,Active Ratio_death,Striking Ratio_death,True SR_death,True Avg_death,Active Ratio_middle,Striking Ratio_middle,True SR_middle,True Avg_middle,Active Ratio_powerplay,Striking Ratio_powerplay,True SR_powerplay,True Avg_powerplay
A Ashish Reddy,0.75,0.10952381,0.581438273,0.460028064,0.751559841,0.331896551,0.812287372,0.974966473,0.333333333,0.133333333,0.295026119,0.250624688
A Badoni,0.707692308,0.130434783,0.549889947,0.456806084,0.743785084,0.171875,0.496607624,0.354657318,0.166666667,0,0.165855816,0.310701792
A Chopra,0.5,0,0,0.242395437,0.595028068,0.171875,0.503456591,0.150201162,0.384615385,0.076190476,0.323080984,0.355122439
A Flintoff,0.764705882,0.115384616,0.645389783,0.565589354,0.896405919,0.144736842,0.415500592,0.326776933,0.363636364,0.166666667,0.444734832,0.331334333
A Manohar,0.625,0.173913044,0.537563956,0.407072243,0.914478619,0.418478261,0.634473007,0.302190434,0.5,0.133333333,0.369747899,0.379476928
A Mishra,0.6367713,0.071823205,0.520732936,0.457575438,0.690232558,0.080882352,0.50343705,0.449577954,0.2,0,0.120212295,0.277527903
A Mukund,0,0,0.188647179,0.394296578,0.821705426,0,0.440923404,0.022798391,0.666666667,0.051282051,0.23387201,0.033983008
A Symonds,0.758426966,0.138211382,0.604055662,0.507570732,0.794026927,0.262811634,0.653384043,0.64862969,0.382716049,0.123076923,0.304521809,0.838166631
AA Bilakhia,0.741935484,0.0625,0.52891642,0.502193624,0.58384333,0,0.218827693,0.112203844,0.419354839,0.053333333,0.178011442,0.305847076
AA Jhunjhunwala,0.673469388,0.135135135,0.593158016,0.444014575,0.73555889,0.149752475,0.510845917,0.292640306,0.393939394,0.066666667,0.287505952,0.464611444
AB Agarkar,0.786516854,0.090909091,0.558206037,0.521289239,0.602583979,0.105769231,0.571102224,0.430551121,0.461538462,0.222222222,0.467261576,0.407796102
AB Barath,0.4,0,0.383968852,0.323193916,0.643073811,0.217105263,0.474716794,0.073088958,0.538461538,0.2,0.326438268,0.059470265
AB McDonald,0.725806452,0.076086957,0.531752693,0.522137727,0.924418604,0,0.568365982,0.364774251,0.444444444,0.333333333,0.506245741,0.44177911
AB de Villiers,0.81242236,0.306818182,0.714279274,0.607553105,0.890606192,0.249666222,0.623439029,0.52450701,0.512355848,0.173913043,0.379958802,0.492546356
AC Gilchrist,0.851851852,0.294117647,0.801526134,0.744269419,0.80266591,0.360880399,0.68051089,0.258753934,0.519480519,0.218232044,0.431501222,0.384990248
AC Voges,0.843137255,0.132352941,0.61692726,0.620532319,0.832376925,0.192982456,0.572135959,0.485878002,0.444444444,0.083333333,0.294571883,0.358945527
AD Mascarenhas,0.75,0.051724138,0.515591044,0.422389588,0.66910299,0.0859375,0.424121406,0.302453391,0.5,0.666666667,0.734970911,0.348325837
AD Mathews,0.747252747,0.128272252,0.569042559,0.463510444,0.812773846,0.134574468,0.546810576,0.497332737,0.235294118,0.044444445,0.299359992,0.394202899
AD Nath,0.48,0.071428572,0.436450955,0.431463878,0.715678919,0.129716982,0.470729563,0.207755923,0.545454545,0.066666667,0.37815126,0.316466767
AD Russell,0.657794677,0.241176471,0.66944517,0.520388678,0.723781982,0.460542169,0.712542446,0.544731819,0.647058824,0.592592593,0.728652146,0.577711144
AJ Finch,0.701149425,0.157894737,0.571716134,0.433356871,0.845237238,0.310213415,0.65851764,0.424719518,0.503328895,0.169911505,0.383387523,0.355628385
AK Markram,0.818181818,0.192307693,0.67119331,0.522163844,0.898833011,0.228139014,0.532515084,0.516370863,0.361111111,0.0625,0.291509707,0.449708479
AL Menaria,0.61038961,0.093220339,0.565014523,0.438818988,0.75707691,0.180429864,0.561518364,0.394824418,0.375,0.095238095,0.354679803,0.237881059
AM Nayar,0.735135135,0.172131148,0.642992583,0.480855905,0.76775507,0.131474104,0.516911873,0.296816983,0.420289855,0.095238095,0.338691998,0.370119288
AM Rahane,0.766233766,0.133027523,0.548036128,0.459547816,0.916617603,0.197019038,0.57914433,0.441526146,0.540262707,0.152634171,0.365741689,0.36355199
AP Majumdar,0.666666667,0,0.581237254,0.446007605,0.843329253,0.149456522,0.672337067,0.565936522,0.571428571,0.296296296,0.487970531,0.459984294
AP Tare,0.653846154,0.176470588,0.587460127,0.456511407,0.821705426,0.504166667,0.662202557,0.044830449,0.489795918,0.152125279,0.38123821,0.337433847
AR Patel,0.751173709,0.118122978,0.586545995,0.474160905,0.777548358,0.179016621,0.58181671,0.447128866,0.538461538,0.060606061,0.158290239,0.30471431
AS Raut,0.640776699,0.070588236,0.534609069,0.482919095,0.765036086,0.20923913,0.615754016,0.373020092,0.5,0.166666667,0.436747672,0.288855572
AT Rayudu,0.768,0.167056075,0.605667384,0.471651113,0.846078045,0.225424559,0.597869498,0.472371754,0.488919668,0.132647227,0.37995332,0.522217333
AUK Pathan,0.5,0.214285715,0.540378349,0.394942966,0.61627907,0.275,0.673597173,0.220607957,0.6,1,0.955394049,0.407796102
Abdul Samad,0.652631579,0.140625,0.651130517,0.469657675,0.860834255,0.203703704,0.627790973,0.354716138,0.5,0,0.226890756,0.144427786
Abhishek Sharma,0.735632184,0.113636364,0.59371264,0.471279573,0.859269103,0.258458647,0.665263073,0.31862526,0.549107143,0.205450734,0.41705274,0.410476309
Anirudh Singh,0.5,0.05,0.673973552,0.481558935,0.770348837,0.147321428,0.523787801,0.249441216,0.4,0.125,0.43547103,0.458770615
Ankit Sharma,0.705882353,0.096153846,0.616872493,0.463675539,0.862790697,0.196428572,0.624171732,0.222131914,0.391304348,0.196078431,0.389882392,0.254872564
Anuj Rawat,0.666666667,0.25,0.715345158,0.42338403,0.958656331,0.25,0.532987873,0.123379526,0.407407407,0.111111111,0.366813392,0.342885575
Azhar Mahmood,0.571428571,0.136363637,0.570120997,0.460418416,0.864833612,0.29676259,0.608177769,0.446436554,0.363636364,0.148148148,0.355380862,0.414747172
B Chipli,0.821428571,0.189189189,0.693260863,1,0.769032001,0.180555555,0.586650141,0.339205646,0.364864865,0.082051282,0.287582609,0.267211632
B Sai Sudharsan,0.75,0.15,0.692768525,0.566051059,0.911021234,0.225000001,0.559768126,0.517508568,0.6,0.133333333,0.329535604,0.372113943
BA Stokes,0.75862069,0.164473684,0.619070276,0.446560073,0.885081642,0.226804124,0.606379454,0.432666518,0.538888889,0.191919192,0.38335018,0.408160206
