bowler,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
A Badoni,0,0,0,0,0,0,0,0,0,0,0,0
A Chopra,0,0,0,0,0,0,0,0,0,0,0,0
A Manohar,0,0,0,0,0,0,0,0,0,0,0,0
A Mukund,0,0,0,0,0,0,0,0,0,0,0,0
AA Bilakhia,0,0,0,0,0,0,0,0,0,0,0,0
AB Barath,0,0,0,0,0,0,0,0,0,0,0,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0,0,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0
AD Nath,0,0,0,0,0,0,0,0,0,0,0,0
AK Markram,0,0,0,0,0,0,0,0,0,0,0,0
AM Rahane,0,0,0,0,0,0,0,0,0,0,0,0
AP Majumdar,0,0,0,0,0,0,0,0,0,0,0,0
AP Tare,0,0,0,0,0,0,0,0,0,0,0,0
AS Raut,0,0,0,0,0,0,0,0,0,0,0,0
AT Rayudu,0,0,0,0,0,0,0,0,0,0,0,0
AUK Pathan,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Samad,0,0,0,0,0,0,0,0,0,0,0,0
Anirudh Singh,0,0,0,0,0,0,0,0,0,0,0,0
Anuj Rawat,0,0,0,0,0,0,0,0,0,0,0,0
B Chipli,0,0,0,0,0,0,0,0,0,0,0,0
B Sai Sudharsan,0,0,0,0,0,0,0,0,0,0,0,0
BB McCullum,0,0,0,0,0,0,0,0,0,0,0,0
BB Samantray,0,0,0,0,0,0,0,0,0,0,0,0
BJ Rohrer,0,0,0,0,0,0,0,0,0,0,0,0
C Munro,0,0,0,0,0,0,0,0,0,0,0,0
CA Ingram,0,0,0,0,0,0,0,0,0,0,0,0
CA Lynn,0,0,0,0,0,0,0,0,0,0,0,0
CA Pujara,0,0,0,0,0,0,0,0,0,0,0,0
CJ Ferguson,0,0,0,0,0,0,0,0,0,0,0,0
CL White,0,0,0,0,0,0,0,0,0,0,0,0
CM Gautam,0,0,0,0,0,0,0,0,0,0,0,0
D Padikkal,0,0,0,0,0,0,0,0,0,0,0,0
DA Miller,0,0,0,0,0,0,0,0,0,0,0,0
DA Warner,0,0,0,0,0,0,0,0,0,0,0,0
DB Das,0,0,0,0,0,0,0,0,0,0,0,0
DB Ravi Teja,0,0,0,0,0,0,0,0,0,0,0,0
DP Conway,0,0,0,0,0,0,0,0,0,0,0,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,0,0,0,0
DR Martyn,0,0,0,0,0,0,0,0,0,0,0,0
E Lewis,0,0,0,0,0,0,0,0,0,0,0,0
EJG Morgan,0,0,0,0,0,0,0,0,0,0,0,0
F du Plessis,0,0,0,0,0,0,0,0,0,0,0,0
FY Fazal,0,0,0,0,0,0,0,0,0,0,0,0
G Gambhir,0,0,0,0,0,0,0,0,0,0,0,0
GC Smith,0,0,0,0,0,0,0,0,0,0,0,0
GD Phillips,0,0,0,0,0,0,0,0,0,0,0,0
GH Vihari,0,0,0,0,0,0,0,0,0,0,0,0
GJ Bailey,0,0,0,0,0,0,0,0,0,0,0,0
Gurkeerat Singh,0,0,0,0,0,0,0,0,0,0,0,0
H Klaasen,0,0,0,0,0,0,0,0,0,0,0,0
HH Gibbs,0,0,0,0,0,0,0,0,0,0,0,0
HM Amla,0,0,0,0,0,0,0,0,0,0,0,0
IR Jaggi,0,0,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,0,0,0,0,0,0,0,0,0,0,0,0
JC Buttler,0,0,0,0,0,0,0,0,0,0,0,0
JJ Roy,0,0,0,0,0,0,0,0,0,0,0,0
JM Bairstow,0,0,0,0,0,0,0,0,0,0,0,0
JM Kemp,0,0,0,0,0,0,0,0,0,0,0,0
JM Sharma,0,0,0,0,0,0,0,0,0,0,0,0
JR Philippe,0,0,0,0,0,0,0,0,0,0,0,0
K Goel,0,0,0,0,0,0,0,0,0,0,0,0
KC Sangakkara,0,0,0,0,0,0,0,0,0,0,0,0
KD Karthik,0,0,0,0,0,0,0,0,0,0,0,0
KK Nair,0,0,0,0,0,0,0,0,0,0,0,0
KL Rahul,0,0,0,0,0,0,0,0,0,0,0,0
KM Jadhav,0,0,0,0,0,0,0,0,0,0,0,0
KS Bharat,0,0,0,0,0,0,0,0,0,0,0,0
KS Williamson,0,0,0,0,0,0,0,0,0,0,0,0
Kamran Akmal,0,0,0,0,0,0,0,0,0,0,0,0
LA Carseldine,0,0,0,0,0,0,0,0,0,0,0,0
LA Pomersbach,0,0,0,0,0,0,0,0,0,0,0,0
LMP Simmons,0,0,0,0,0,0,0,0,0,0,0,0
LPC Silva,0,0,0,0,0,0,0,0,0,0,0,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,0,0
M Kaif,0,0,0,0,0,0,0,0,0,0,0,0
M Manhas,0,0,0,0,0,0,0,0,0,0,0,0
M Rawat,0,0,0,0,0,0,0,0,0,0,0,0
M Shahrukh Khan,0,0,0,0,0,0,0,0,0,0,0,0
M Vijay,0,0,0,0,0,0,0,0,0,0,0,0
M Vohra,0,0,0,0,0,0,0,0,0,0,0,0
MA Agarwal,0,0,0,0,0,0,0,0,0,0,0,0
MC Juneja,0,0,0,0,0,0,0,0,0,0,0,0
MD Mishra,0,0,0,0,0,0,0,0,0,0,0,0
MEK Hussey,0,0,0,0,0,0,0,0,0,0,0,0
MK Lomror,0,0,0,0,0,0,0,0,0,0,0,0
MK Pandey,0,0,0,0,0,0,0,0,0,0,0,0
MK Tiwary,0,0,0,0,0,0,0,0,0,0,0,0
ML Hayden,0,0,0,0,0,0,0,0,0,0,0,0
MN van Wyk,0,0,0,0,0,0,0,0,0,0,0,0
MS Bisla,0,0,0,0,0,0,0,0,0,0,0,0
MS Dhoni,0,0,0,0,0,0,0,0,0,0,0,0
MV Boucher,0,0,0,0,0,0,0,0,0,0,0,0
Mandeep Singh,0,0,0,0,0,0,0,0,0,0,0,0
Misbah-ul-Haq,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,0,0,0,0
N Jagadeesan,0,0,0,0,0,0,0,0,0,0,0,0
N Pooran,0,0,0,0,0,0,0,0,0,0,0,0
N Saini,0,0,0,0,0,0,0,0,0,0,0,0
NK Patel,0,0,0,0,0,0,0,0,0,0,0,0
NS Naik,0,0,0,0,0,0,0,0,0,0,0,0
NV Ojha,0,0,0,0,0,0,0,0,0,0,0,0
OA Shah,0,0,0,0,0,0,0,0,0,0,0,0
P Simran Singh,0,0,0,0,0,0,0,0,0,0,0,0
PA Patel,0,0,0,0,0,0,0,0,0,0,0,0
PA Reddy,0,0,0,0,0,0,0,0,0,0,0,0
PBB Rajapaksa,0,0,0,0,0,0,0,0,0,0,0,0
PC Valthaty,0,0,0,0,0,0,0,0,0,0,0,0
PD Collingwood,0,0,0,0,0,0,0,0,0,0,0,0
PK Garg,0,0,0,0,0,0,0,0,0,0,0,0
PP Shaw,0,0,0,0,0,0,0,0,0,0,0,0
PR Shah,0,0,0,0,0,0,0,0,0,0,0,0
Q de Kock,0,0,0,0,0,0,0,0,0,0,0,0
R Bishnoi,0,0,0,0,0,0,0,0,0,0,0,0
R Dravid,0,0,0,0,0,0,0,0,0,0,0,0
R Sathish,0,0,0,0,0,0,0,0,0,0,0,0
RA Tripathi,0,0,0,0,0,0,0,0,0,0,0,0
RD Gaikwad,0,0,0,0,0,0,0,0,0,0,0,0
