BowlerName,OverNo,Dot,1,2,3,4,5,6,Wickets,TotalBalls
Mohammed Shami,1,132,60,7,0,40,0,6,8,253
Mohammed Shami,2,113,51,5,2,35,0,4,10,220
Mohammed Shami,3,85,43,4,1,32,1,10,6,182
Mohammed Shami,4,74,34,9,2,30,0,5,3,157
Mohammed Shami,5,46,34,2,0,24,1,4,1,112
Mohammed Shami,6,5,11,1,0,1,0,0,0,18
Mohammed Shami,7,8,10,2,0,3,0,1,0,24
Mohammed Shami,8,7,13,2,0,8,0,0,1,31
Mohammed Shami,9,19,20,3,0,7,0,1,1,51
Mohammed Shami,10,19,13,5,0,5,0,1,1,44
Mohammed Shami,11,11,16,2,0,2,0,0,1,32
Mohammed Shami,12,28,32,6,0,6,0,4,3,79
Mohammed Shami,13,6,20,1,0,6,0,3,1,37
Mohammed Shami,14,33,37,7,0,9,0,7,6,99
Mohammed Shami,15,33,40,6,0,8,0,8,7,102
Mohammed Shami,16,34,52,6,0,16,0,12,10,130
Mohammed Shami,17,40,48,11,0,18,0,10,14,141
Mohammed Shami,18,47,47,20,0,19,0,16,19,168
Mohammed Shami,19,34,32,13,1,13,0,12,18,123
Yash Dayal,1,22,8,1,0,6,0,1,2,40
Yash Dayal,2,0,0,0,0,0,0,0,0,0
Yash Dayal,3,16,8,1,0,6,0,5,2,38
Yash Dayal,4,2,1,0,0,2,0,1,0,6
Yash Dayal,5,5,3,0,0,4,0,0,1,13
Yash Dayal,6,4,2,0,0,1,0,0,1,8
Yash Dayal,7,1,3,0,0,2,0,0,0,6
Yash Dayal,8,0,0,0,0,0,0,0,0,0
Yash Dayal,9,3,2,1,0,0,0,0,0,6
Yash Dayal,10,4,1,0,0,1,0,0,1,7
Yash Dayal,11,0,4,0,0,2,0,1,0,7
Yash Dayal,12,7,4,0,0,1,0,2,1,15
Yash Dayal,13,1,4,0,0,1,0,0,0,6
Yash Dayal,14,0,0,0,0,0,0,0,0,0
Yash Dayal,15,0,0,0,0,0,0,0,0,0
Yash Dayal,16,4,3,2,0,4,0,0,1,14
Yash Dayal,17,3,7,2,0,1,0,0,1,14
Yash Dayal,18,8,11,1,0,0,0,1,0,21
Yash Dayal,19,7,2,4,0,0,0,1,3,17
LH Ferguson,1,19,9,1,0,4,0,3,1,37
LH Ferguson,2,1,4,0,0,1,0,0,0,6
LH Ferguson,3,22,10,2,0,10,0,2,2,48
LH Ferguson,4,30,17,3,0,10,0,2,6,68
LH Ferguson,5,32,19,2,0,14,0,1,4,72
LH Ferguson,6,23,16,3,0,7,0,0,3,52
LH Ferguson,7,27,11,3,0,3,0,0,3,47
LH Ferguson,8,10,11,0,0,3,0,0,1,25
LH Ferguson,9,25,11,2,0,4,0,3,1,46
LH Ferguson,10,12,18,1,0,5,0,2,0,38
LH Ferguson,11,24,15,4,0,8,0,1,4,56
