Venue,Ball_Number,0,1,2,3,4,5,6,Wickets,TotalBalls
Arun Jaitley Stadium,1,89,34,4,0,21,0,0,3,151
Arun Jaitley Stadium,2,86,34,4,0,20,0,1,4,149
Arun Jaitley Stadium,3,78,46,6,0,20,0,0,6,156
Arun Jaitley Stadium,4,84,37,7,0,19,0,3,5,155
Arun Jaitley Stadium,5,78,41,5,1,20,0,2,5,152
Arun Jaitley Stadium,6,73,38,9,0,25,0,2,6,153
Arun Jaitley Stadium,7,99,45,5,0,22,0,5,7,183
Arun Jaitley Stadium,8,74,32,6,1,32,1,3,7,156
Arun Jaitley Stadium,9,61,38,8,1,30,0,5,4,147
Arun Jaitley Stadium,10,70,44,7,0,29,0,2,10,162
Arun Jaitley Stadium,11,63,41,5,3,31,0,6,4,153
Arun Jaitley Stadium,12,64,49,9,0,24,0,1,8,155
Arun Jaitley Stadium,13,97,32,5,1,23,0,11,9,178
Arun Jaitley Stadium,14,68,51,4,0,26,0,2,3,154
Arun Jaitley Stadium,15,67,42,3,1,20,0,9,6,148
Arun Jaitley Stadium,16,64,35,7,1,34,0,8,7,156
Arun Jaitley Stadium,17,71,41,4,0,23,1,6,5,151
Arun Jaitley Stadium,18,64,46,8,1,25,0,5,7,156
Arun Jaitley Stadium,19,80,48,8,1,29,0,10,9,185
Arun Jaitley Stadium,20,61,44,5,1,37,0,5,9,162
Arun Jaitley Stadium,21,74,33,3,1,28,0,6,8,153
Arun Jaitley Stadium,22,70,42,3,0,24,0,10,10,159
Arun Jaitley Stadium,23,52,49,7,0,34,0,8,5,155
Arun Jaitley Stadium,24,66,37,5,0,27,0,12,3,150
Arun Jaitley Stadium,25,77,44,11,0,22,0,14,10,178
Arun Jaitley Stadium,26,66,49,5,0,21,0,8,7,156
Arun Jaitley Stadium,27,56,53,2,1,22,0,11,7,152
Arun Jaitley Stadium,28,72,36,6,1,31,0,6,10,162
Arun Jaitley Stadium,29,67,44,7,1,22,1,5,4,151
Arun Jaitley Stadium,30,63,49,10,1,18,0,7,9,157
Arun Jaitley Stadium,31,60,63,7,0,31,0,7,4,172
Arun Jaitley Stadium,32,60,51,4,0,27,0,4,6,152
Arun Jaitley Stadium,33,63,41,3,0,28,0,6,4,145
Arun Jaitley Stadium,34,56,56,7,1,23,1,6,5,155
Arun Jaitley Stadium,35,58,48,6,0,29,0,11,3,155
Arun Jaitley Stadium,36,64,54,7,1,18,1,4,8,157
Arun Jaitley Stadium,37,60,90,6,0,11,0,0,10,177
Arun Jaitley Stadium,38,48,73,6,0,11,0,9,5,152
Arun Jaitley Stadium,39,51,68,8,0,20,0,3,6,156
Arun Jaitley Stadium,40,46,79,6,1,11,0,5,5,153
Arun Jaitley Stadium,41,49,66,12,0,18,0,3,5,153
Arun Jaitley Stadium,42,42,75,9,0,9,0,5,6,146
Arun Jaitley Stadium,43,55,90,10,1,18,0,4,7,185
Arun Jaitley Stadium,44,55,75,5,0,13,0,5,5,158
Arun Jaitley Stadium,45,56,65,6,0,13,0,8,5,153
Arun Jaitley Stadium,46,53,74,3,0,11,0,5,8,154
Arun Jaitley Stadium,47,56,57,9,1,17,0,10,4,154
Arun Jaitley Stadium,48,51,69,11,0,9,0,8,4,152
Arun Jaitley Stadium,49,56,72,9,2,17,0,8,5,169
Arun Jaitley Stadium,50,58,63,10,0,13,1,5,9,159
Arun Jaitley Stadium,51,53,70,7,0,13,0,5,3,151
Arun Jaitley Stadium,52,44,68,8,0,19,0,9,4,152
Arun Jaitley Stadium,53,46,81,5,0,10,1,6,4,153
Arun Jaitley Stadium,54,49,73,8,0,11,0,6,6,153
Arun Jaitley Stadium,55,62,73,7,0,16,0,8,12,178
Arun Jaitley Stadium,56,43,78,8,1,10,0,2,3,145
Arun Jaitley Stadium,57,35,81,9,0,15,0,6,3,149
Arun Jaitley Stadium,58,54,73,5,0,13,0,1,12,158
Arun Jaitley Stadium,59,33,81,7,0,20,0,6,5,152
Arun Jaitley Stadium,60,52,70,6,0,12,0,6,8,154
Arun Jaitley Stadium,61,52,80,14,0,15,0,8,2,171
Arun Jaitley Stadium,62,48,69,8,0,18,0,9,7,159
Arun Jaitley Stadium,63,43,59,12,1,20,0,9,8,152
Arun Jaitley Stadium,64,48,77,3,0,12,0,4,7,151
Arun Jaitley Stadium,65,39,60,16,0,17,0,9,6,147
Arun Jaitley Stadium,66,45,73,6,0,11,0,9,5,149
Arun Jaitley Stadium,67,42,83,11,0,9,0,13,2,160
Arun Jaitley Stadium,68,42,73,9,0,20,0,9,7,160
Arun Jaitley Stadium,69,36,79,8,0,15,0,5,4,147
Arun Jaitley Stadium,70,38,78,11,0,13,0,4,6,150
Arun Jaitley Stadium,71,44,63,13,0,13,0,12,10,155
Arun Jaitley Stadium,72,48,63,12,0,16,0,6,9,154
Arun Jaitley Stadium,73,41,92,11,1,11,0,11,4,171
Arun Jaitley Stadium,74,44,68,11,0,11,0,7,4,145
Arun Jaitley Stadium,75,52,60,6,0,14,0,7,7,146
Arun Jaitley Stadium,76,44,56,15,1,17,0,4,5,142
Arun Jaitley Stadium,77,47,63,3,1,18,1,10,7,150
Arun Jaitley Stadium,78,44,55,18,0,18,0,8,6,149
Arun Jaitley Stadium,79,40,92,14,1,20,0,6,7,180
Arun Jaitley Stadium,80,48,58,11,0,15,0,9,8,149
Arun Jaitley Stadium,81,39,65,12,0,11,0,11,7,145
Arun Jaitley Stadium,82,40,79,6,0,4,0,9,8,146
Arun Jaitley Stadium,83,44,62,11,2,13,0,9,4,145
Arun Jaitley Stadium,84,37,75,6,0,14,0,8,10,150
Arun Jaitley Stadium,85,45,89,10,0,10,0,10,6,170
Arun Jaitley Stadium,86,44,64,8,0,10,1,16,10,153
Arun Jaitley Stadium,87,53,57,7,0,17,0,6,10,150
Arun Jaitley Stadium,88,52,63,3,0,17,0,2,6,143
Arun Jaitley Stadium,89,33,62,15,1,23,0,5,6,145
Arun Jaitley Stadium,90,47,63,9,0,13,0,9,11,152
Arun Jaitley Stadium,91,50,75,6,0,19,0,13,13,176
Arun Jaitley Stadium,92,47,68,10,0,9,0,6,12,152
Arun Jaitley Stadium,93,40,63,12,1,14,0,7,6,143
Arun Jaitley Stadium,94,39,69,6,0,11,0,11,3,139
Arun Jaitley Stadium,95,43,59,12,0,9,0,10,12,145
Arun Jaitley Stadium,96,42,64,9,0,10,0,7,6,138
Arun Jaitley Stadium,97,52,64,13,0,16,0,17,13,175
Arun Jaitley Stadium,98,42,60,10,0,11,0,11,7,141
Arun Jaitley Stadium,99,44,61,3,1,13,1,7,9,139
Arun Jaitley Stadium,100,34,56,18,1,11,0,9,8,137
Arun Jaitley Stadium,101,36,56,8,1,19,0,13,7,140
