Team,balls_faced,matches_played,runs,4s,6s,1s,2s,0s,dismissals,balls_bowled,runs_conceded,4s_conceded,6s_conceded,1s_conceded,2s_conceded,0s_conceded,wickets_taken,noballs_conceded,legbyes_conceded,wides_conceded,byes_conceded,catches_taken,run_out_taken,bowled_taken,stumped_taken,lbw_taken,Season
Chennai Super Kings,1719,14,2165,183,103,614,90,626,88,1682,2288,186,86,612,112,573,82,6.0,22,75,3,58,4,12,0.0,7.0,2022
Delhi Capitals,1650,14,2218,205,106,572,82,584,81,1743,2341,205,103,654,94,595,88,7.0,18,65,2,64,2,11,4.0,5.0,2022
Gujarat Titans,1971,16,2517,250,79,794,121,622,82,1907,2663,218,101,697,109,688,101,6.0,22,55,3,64,10,12,3.0,9.0,2022
Kolkata Knight Riders,1634,14,2109,177,113,508,97,635,104,1694,2223,170,104,609,95,619,84,12.0,25,49,7,57,8,8,3.0,3.0,2022
Lucknow Super Giants,1840,15,2405,188,115,711,118,595,89,1843,2548,232,94,633,106,667,100,6.0,27,72,2,71,7,15,1.0,4.0,2022
Mumbai Indians,1691,14,2100,173,100,587,102,633,94,1688,2217,192,111,581,89,604,87,2.0,29,73,1,64,5,9,0.0,6.0,2022
Punjab Kings,1712,14,2193,200,110,556,79,634,99,1644,2343,191,91,577,109,577,83,9.0,19,66,6,65,6,7,2.0,1.0,2022
Rajasthan Royals,2107,17,2807,249,137,731,115,757,97,2114,2943,241,113,759,111,734,104,7.0,28,110,4,68,7,18,2.0,8.0,2022
Royal Challengers Bangalore,1965,16,2454,222,102,677,116,704,98,1885,2632,183,147,666,95,692,97,6.0,26,62,4,63,7,10,2.0,9.0,2022
Sunrisers Hyderabad,1623,14,2084,170,97,613,98,565,80,1712,2197,199,112,575,98,606,86,8.0,27,75,4,51,5,21,1.0,5.0,2022
Chennai Super Kings,1949,16,2607,231,115,736,116,646,81,1941,2733,213,104,712,118,680,103,8.0,17,85,3,73,7,11,0.0,11.0,2021
Delhi Capitals,1920,16,2387,234,66,783,130,609,78,1966,2495,179,95,790,120,690,102,8.0,30,47,4,62,6,20,3.0,7.0,2021
Kolkata Knight Riders,1981,17,2423,220,98,735,103,721,105,2059,2559,203,92,798,114,739,109,20.0,23,59,5,66,9,21,2.0,11.0,2021
Mumbai Indians,1641,14,2016,181,76,626,94,585,95,1685,2117,172,80,631,101,612,83,12.0,26,48,2,46,5,13,2.0,9.0,2021
Punjab Kings,1676,14,2061,155,93,677,98,576,81,1648,2150,177,77,611,109,585,79,4.0,30,48,5,49,4,20,0.0,2.0,2021
Rajasthan Royals,1702,14,2087,187,90,614,88,623,95,1631,2196,197,86,643,103,493,69,7.0,17,70,8,46,7,10,4.0,0.0,2021
Royal Challengers Bangalore,1823,15,2181,190,79,689,116,639,90,1784,2303,195,87,700,95,623,96,13.0,15,55,3,69,4,12,1.0,7.0,2021
Sunrisers Hyderabad,1733,14,1965,152,70,667,121,623,92,1711,2084,214,66,642,106,600,76,4.0,19,49,7,56,4,6,1.0,7.0,2021
Chennai Super Kings,1699,14,2095,188,75,661,107,594,67,1680,2191,194,73,684,131,516,75,8.0,15,54,2,52,4,10,1.0,3.0,2020
Delhi Capitals,2108,17,2658,236,88,864,143,665,105,2058,2780,235,106,821,126,662,104,6.0,25,60,4,76,5,20,0.0,2.0,2020
Kolkata Knight Riders,1725,14,2124,197,86,607,102,644,96,1662,2222,189,76,638,128,558,70,5.0,25,38,2,43,3,17,0.0,3.0,2020
Mumbai Indians,1879,16,2662,224,137,718,103,615,77,1963,2758,230,81,692,151,717,100,1.0,19,68,2,66,4,14,4.0,11.0,2020
Punjab Kings,1717,14,2264,181,99,661,132,561,76,1702,2357,199,98,618,107,583,82,3.0,18,63,5,52,10,15,0.0,4.0,2020
Rajasthan Royals,1681,14,2197,171,105,629,119,575,90,1742,2288,172,128,666,105,561,65,10.0,22,67,6,47,4,9,2.0,1.0,2020
Royal Challengers Bangalore,1819,15,2169,178,66,736,147,584,79,1814,2289,178,91,703,118,630,82,6.0,23,59,5,54,6,18,1.0,2.0,2020
Sunrisers Hyderabad,1931,16,2397,213,79,730,153,644,87,1938,2531,191,82,784,140,655,99,8.0,27,44,3,57,9,22,2.0,7.0,2020
Chennai Super Kings,2050,17,2346,205,89,756,110,793,88,2015,2473,205,81,752,128,769,111,6.0,20,48,1,80,5,9,5.0,7.0,2019
Delhi Capitals,1909,16,2428,237,87,737,103,661,108,1963,2529,228,92,784,92,680,111,8.0,19,57,4,73,9,12,6.0,7.0,2019
