Team,balls_faced,matches_played,runs,4s,6s,1s,2s,0s,dismissals,balls_bowled,runs_conceded,4s_conceded,6s_conceded,1s_conceded,2s_conceded,0s_conceded,wickets_taken,noballs_conceded,legbyes_conceded,wides_conceded,byes_conceded,catches_taken,run_out_taken,bowled_taken,stumped_taken,lbw_taken,Venue
Delhi Capitals,335,3,476,46,17.0,130,30,98,10,365,493,30,23.0,163,28,111,17,0.0,5.0,5.0,0.0,8.0,1.0,5.0,1.0,1.0,"Narendra Modi Stadium, Ahmedabad"
Gujarat Titans,113,1,124,10,4.0,36,12,46,3,120,133,11,4.0,47,5,50,9,0.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,"Narendra Modi Stadium, Ahmedabad"
Kolkata Knight Riders,222,2,266,27,9.0,84,10,84,11,228,280,23,13.0,76,11,94,12,1.0,1.0,8.0,1.0,8.0,0.0,3.0,0.0,1.0,"Narendra Modi Stadium, Ahmedabad"
Punjab Kings,370,3,453,31,24.0,151,17,133,20,332,468,39,16.0,123,20,116,16,0.0,12.0,6.0,0.0,9.0,1.0,5.0,0.0,1.0,"Narendra Modi Stadium, Ahmedabad"
Rajasthan Royals,229,2,289,23,14.0,86,12,91,12,240,291,19,11.0,87,17,91,11,0.0,2.0,11.0,1.0,8.0,0.0,3.0,0.0,0.0,"Narendra Modi Stadium, Ahmedabad"
Royal Challengers Bangalore,371,3,445,28,22.0,152,23,125,21,355,473,43,23.0,143,23,115,12,0.0,2.0,6.0,0.0,10.0,0.0,1.0,1.0,0.0,"Narendra Modi Stadium, Ahmedabad"
Chennai Super Kings,1272,11,1489,141,53.0,469,67,485,58,1263,1561,156,53.0,454,67,469,63,2.0,26.0,32.0,3.0,35.0,7.0,14.0,0.0,5.0,Eden Gardens
Deccan Chargers,367,3,395,37,13.0,131,15,143,23,371,421,42,14.0,118,17,149,15,2.0,11.0,15.0,3.0,10.0,0.0,3.0,0.0,2.0,Eden Gardens
Delhi Capitals,989,9,1166,118,35.0,379,50,358,65,1003,1230,128,49.0,368,45,357,49,3.0,15.0,33.0,2.0,26.0,6.0,12.0,1.0,3.0,Eden Gardens
Gujarat Lions,220,2,342,39,15.0,79,7,74,11,244,352,37,9.0,100,17,73,9,0.0,4.0,4.0,0.0,6.0,1.0,2.0,0.0,0.0,Eden Gardens
