0,1,2,3,4,5,6,bowler,Innings,Runs,Extras,Dismissals,Balls Bowled,4s,6s,0s,1s,2s,Highest Conceeded,Strike Rate,Bowling Average,economy,Runs Conceded
6.0,10.0,3.0,1.0,0.0,0.0,0.0,A Ashish Reddy,20,386,14,19,264,26.0,20.0,89.0,110.0,23.0,36,13.894736842105264,20.31578947368421,8.772727272727273,400
0.0,2.0,0.0,0.0,0.0,0.0,0.0,A Badoni,2,11,1,2,12,0.0,0.0,4.0,5.0,3.0,6,6.0,5.5,5.5,12
6.0,3.0,2.0,0.0,1.0,0.0,0.0,A Chandila,12,242,3,11,234,17.0,10.0,105.0,91.0,10.0,39,21.272727272727273,22.0,6.205128205128206,245
1.0,3.0,1.0,0.0,0.0,0.0,0.0,A Choudhary,5,137,7,5,102,13.0,6.0,49.0,31.0,9.0,51,20.4,27.4,8.058823529411764,144
1.0,0.0,0.0,0.0,0.0,0.0,0.0,A Dananjaya,1,46,1,0,24,2.0,4.0,7.0,10.0,2.0,46,inf,inf,11.5,47
1.0,2.0,0.0,0.0,0.0,0.0,0.0,A Flintoff,3,105,1,2,66,7.0,7.0,21.0,27.0,4.0,50,33.0,52.5,9.545454545454545,106
15.0,16.0,6.0,1.0,2.0,2.0,0.0,A Kumble,42,1027,62,49,970,72.0,35.0,410.0,406.0,57.0,46,19.79591836734694,20.959183673469386,6.352577319587629,1089
53.0,54.0,27.0,14.0,5.0,1.0,0.0,A Mishra,154,3897,125,175,3266,228.0,175.0,1244.0,1415.0,248.0,55,18.662857142857142,22.268571428571427,7.159216166564605,4022
10.0,4.0,2.0,0.0,0.0,0.0,0.0,A Mithun,16,448,29,8,297,42.0,21.0,114.0,117.0,17.0,39,37.125,56.0,9.05050505050505,477
22.0,33.0,15.0,15.0,2.0,1.0,0.0,A Nehra,88,2422,115,121,1917,279.0,76.0,888.0,621.0,103.0,53,15.84297520661157,20.016528925619834,7.580594679186229,2537
0.0,1.0,0.0,0.0,0.0,0.0,0.0,A Nel,1,31,0,1,18,3.0,2.0,7.0,5.0,1.0,31,18.0,31.0,10.333333333333334,31
5.0,10.0,12.0,2.0,1.0,0.0,0.0,A Nortje,30,884,62,44,686,93.0,34.0,314.0,228.0,31.0,50,15.590909090909092,20.09090909090909,7.7317784256559765,946
6.0,7.0,7.0,2.0,1.0,0.0,0.0,A Singh,23,603,36,31,474,67.0,17.0,212.0,148.0,41.0,47,15.290322580645162,19.451612903225808,7.632911392405063,639
14.0,10.0,5.0,1.0,0.0,0.0,0.0,A Symonds,30,656,38,23,528,44.0,33.0,219.0,207.0,36.0,46,22.956521739130434,28.52173913043478,7.454545454545455,694
1.0,0.0,0.0,1.0,0.0,0.0,0.0,A Uniyal,2,64,3,3,36,6.0,3.0,11.0,14.0,4.0,39,12.0,21.333333333333332,10.666666666666666,67
3.0,6.0,3.0,1.0,0.0,0.0,1.0,A Zampa,14,361,12,21,287,15.0,20.0,98.0,138.0,20.0,53,13.666666666666666,17.19047619047619,7.547038327526133,373
7.0,4.0,2.0,0.0,0.0,0.0,0.0,AA Chavan,13,318,21,8,248,28.0,16.0,117.0,79.0,14.0,41,31.0,39.75,7.693548387096774,339
9.0,1.0,0.0,0.0,0.0,0.0,0.0,AA Jhunjhunwala,10,126,4,1,85,10.0,5.0,31.0,31.0,10.0,27,85.0,126.0,8.894117647058824,130
0.0,1.0,0.0,0.0,0.0,0.0,0.0,AA Kazi,1,20,1,1,12,1.0,1.0,3.0,6.0,2.0,20,12.0,20.0,10.0,21
