Player1,Player2,Match IDs,Innings Appearance,Innings Played
A Ashish Reddy,A Nehra,"[829773, 598044]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,AB Dinda,"[598018, 598000]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,AD Mathews,"[829731, 598018]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,AD Russell,[980915],['Both Innings'],2
A Ashish Reddy,Anureet Singh,[829759],['Both Innings'],2
A Ashish Reddy,Azhar Mahmood,[598021],['Both Innings'],2
A Ashish Reddy,B Kumar,[598000],['Both Innings'],2
A Ashish Reddy,BW Hilfenhaus,[548352],['Both Innings'],2
A Ashish Reddy,CH Morris,"[829727, 598030]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,DJ Bravo,"[829773, 598030, 548352]","['Both Innings', 'Both Innings', 'Both Innings']",6
A Ashish Reddy,Harbhajan Singh,[829815],['Both Innings'],2
A Ashish Reddy,Imran Tahir,[829731],['Both Innings'],2
A Ashish Reddy,J Botha,[598044],['Both Innings'],2
A Ashish Reddy,JEC Franklin,[548346],['Both Innings'],2
A Ashish Reddy,JP Duminy,[829731],['Both Innings'],2
A Ashish Reddy,JP Faulkner,[598032],['Both Innings'],2
A Ashish Reddy,KA Pollard,[829815],['Both Innings'],2
A Ashish Reddy,KK Cooper,[598032],['Both Innings'],2
A Ashish Reddy,M Kartik,[598004],['Super Over'],2
A Ashish Reddy,M Morkel,"[980915, 598010]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,MG Johnson,[829759],['Both Innings'],2
A Ashish Reddy,MM Patel,[548346],['Both Innings'],2
A Ashish Reddy,MM Sharma,[598030],['Both Innings'],2
A Ashish Reddy,MR Marsh,[598018],['Both Innings'],2
A Ashish Reddy,MS Gony,[598021],['Both Innings'],2
A Ashish Reddy,NM Coulter-Nile,[829731],['Both Innings'],2
A Ashish Reddy,P Awana,[548359],['Both Innings'],2
A Ashish Reddy,P Kumar,[548359],['Both Innings'],2
A Ashish Reddy,PP Chawla,[548359],['Both Innings'],2
A Ashish Reddy,PV Tambe,[829727],['Both Innings'],2
A Ashish Reddy,Parvez Rasool,[980907],['Both Innings'],2
A Ashish Reddy,R Vinay Kumar,"[598048, 598004, 548376]","['Both Innings', 'Super Over', 'Both Innings']",6
A Ashish Reddy,RJ Peterson,[548346],['Both Innings'],2
A Ashish Reddy,RP Singh,[598048],['Both Innings'],2
A Ashish Reddy,SL Malinga,[829815],['Both Innings'],2
A Ashish Reddy,SMSM Senanayake,[598013],['Both Innings'],2
A Ashish Reddy,SP Narine,[598013],['Both Innings'],2
A Ashish Reddy,SR Watson,"[980953, 980907]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,STR Binny,[598032],['Both Innings'],2
A Ashish Reddy,SW Tait,[548373],['Both Innings'],2
A Ashish Reddy,Sandeep Sharma,[829759],['Both Innings'],2
A Ashish Reddy,TG Southee,[829727],['Both Innings'],2
A Ashish Reddy,UT Yadav,"[980915, 598010]","['Both Innings', 'Both Innings']",4
A Ashish Reddy,YS Chahal,[980907],['Both Innings'],2
A Badoni,AD Russell,[1304099],['Both Innings'],2
A Badoni,AS Joseph,[1304103],['Both Innings'],2
A Badoni,B Kumar,[1304058],['Both Innings'],2
A Badoni,DJ Bravo,[1304053],['Both Innings'],2
A Badoni,GJ Maxwell,[1304077],['Both Innings'],2
A Badoni,HH Pandya,[1304050],['Both Innings'],2
A Badoni,JD Unadkat,[1304083],['Both Innings'],2
A Badoni,JJ Bumrah,[1304083],['Both Innings'],2
A Badoni,JR Hazlewood,[1304077],['Both Innings'],2
A Badoni,K Rabada,[1304088],['Both Innings'],2
A Badoni,KR Sen,[1304066],['Both Innings'],2
A Badoni,LH Ferguson,[1304050],['Both Innings'],2
A Badoni,Mohammed Shami,[1304050],['Both Innings'],2
