player,batter_matches_played,runs_scored,dismissals,balls_faced,0s_scored,1s_scored,2s_scored,4s_scored,6s_scored,high_score,25_scored,50_scored,75_scored,100_scored,strike_rate_x,batting_average,notout,explosivity_rating,0_wickets_taken,1_wickets_taken,2_wickets_taken,3_wickets_taken,4_wickets_taken,5_wickets_taken,6_wickets_taken,bowler_matches_played,runs_conceded,extras_runs_conceded,wickets_taken,balls_bowled,4s_conceded,6s_conceded,0s_conceded,1s_conceded,2s_conceded,highest_conceded,strike_rate_y,bowling_average,economy,total_runs_conceded
A Ashish Reddy,23.0,280.0,15.0,193.0,61.0,83.0,20.0,16.0,15.0,36.0,2.0,0.0,0.0,0.0,145.0777202072539,18.666666666666668,8.0,0.16,6.0,10.0,3.0,1.0,0.0,0.0,0.0,20.0,386.0,14.0,19.0,264.0,26.0,20.0,89.0,110.0,23.0,36.0,13.894736842105264,20.31578947368421,8.772727272727273,400.0
A Badoni,11.0,161.0,9.0,130.0,57.0,53.0,11.0,11.0,7.0,54.0,0.0,1.0,0.0,0.0,123.84615384615385,17.88888888888889,2.0,0.14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,2.0,12.0,0.0,0.0,4.0,5.0,3.0,6.0,6.0,5.5,5.5,12.0
A Chandila,2.0,4.0,1.0,7.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,57.14285714285714,4.0,1.0,0.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,12.0,242.0,3.0,11.0,234.0,17.0,10.0,105.0,91.0,10.0,39.0,21.272727272727273,22.0,6.205128205128206,245.0
A Chopra,6.0,53.0,5.0,71.0,45.0,21.0,2.0,7.0,0.0,24.0,0.0,0.0,0.0,0.0,74.64788732394366,10.6,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,
A Choudhary,3.0,25.0,2.0,20.0,4.0,13.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,125.0,12.5,1.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,137.0,7.0,5.0,102.0,13.0,6.0,49.0,31.0,9.0,51.0,20.4,27.4,8.058823529411764,144.0
A Dananjaya,1.0,4.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,80.0,inf,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,1.0,0.0,24.0,2.0,4.0,7.0,10.0,2.0,46.0,inf,inf,11.5,47.0
A Flintoff,3.0,62.0,2.0,53.0,24.0,23.0,2.0,5.0,2.0,24.0,0.0,0.0,0.0,0.0,116.98113207547169,31.0,1.0,0.13,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,105.0,1.0,2.0,66.0,7.0,7.0,21.0,27.0,4.0,50.0,33.0,52.5,9.545454545454545,106.0
A Kumble,15.0,35.0,2.0,47.0,24.0,21.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,74.46808510638297,17.5,13.0,0.06,15.0,16.0,6.0,1.0,2.0,2.0,0.0,42.0,1027.0,62.0,49.0,970.0,72.0,35.0,410.0,406.0,57.0,46.0,19.79591836734694,20.959183673469386,6.352577319587629,1089.0
A Manohar,7.0,108.0,6.0,75.0,30.0,30.0,2.0,14.0,3.0,43.0,2.0,0.0,0.0,0.0,144.0,18.0,1.0,0.23,,,,,,,,,,,,,,,,,,,,,,
A Mishra,54.0,362.0,30.0,389.0,182.0,172.0,22.0,29.0,5.0,31.0,3.0,0.0,0.0,0.0,93.05912596401028,12.066666666666666,24.0,0.09,52.0,52.0,26.0,14.0,5.0,1.0,0.0,150.0,3831.0,125.0,171.0,3212.0,225.0,171.0,1226.0,1387.0,247.0,55.0,18.783625730994153,22.403508771929825,7.15628891656289,3956.0
A Mithun,6.0,34.0,5.0,26.0,11.0,8.0,2.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,130.76923076923077,6.8,1.0,0.19,9.0,4.0,2.0,0.0,0.0,0.0,0.0,15.0,436.0,27.0,8.0,285.0,41.0,20.0,104.0,115.0,17.0,39.0,35.625,54.5,9.178947368421053,463.0
A Mukund,2.0,19.0,2.0,22.0,9.0,11.0,2.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,86.36363636363636,9.5,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,
A Nehra,17.0,41.0,8.0,62.0,37.0,21.0,1.0,3.0,1.0,22.0,0.0,0.0,0.0,0.0,66.12903225806451,5.125,9.0,0.06,22.0,32.0,15.0,15.0,2.0,1.0,0.0,87.0,2407.0,108.0,120.0,1899.0,276.0,76.0,872.0,618.0,103.0,53.0,15.825,20.058333333333334,7.605055292259084,2515.0
A Nortje,4.0,8.0,1.0,12.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,66.66666666666666,8.0,3.0,0.0,5.0,10.0,12.0,2.0,1.0,0.0,0.0,30.0,884.0,62.0,44.0,686.0,93.0,34.0,314.0,228.0,31.0,50.0,15.590909090909092,20.09090909090909,7.7317784256559765,946.0
A Singh,5.0,2.0,4.0,10.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.5,1.0,0.0,6.0,7.0,7.0,2.0,1.0,0.0,0.0,23.0,603.0,36.0,31.0,474.0,67.0,17.0,212.0,148.0,41.0,47.0,15.290322580645162,19.451612903225808,7.632911392405063,639.0
A Symonds,36.0,974.0,26.0,750.0,308.0,288.0,66.0,74.0,41.0,117.0,10.0,5.0,0.0,1.0,129.86666666666667,37.46153846153846,10.0,0.15,14.0,10.0,5.0,1.0,0.0,0.0,0.0,30.0,656.0,38.0,23.0,528.0,44.0,33.0,219.0,207.0,36.0,46.0,22.956521739130434,28.52173913043478,7.454545454545455,694.0
A Tomar,1.0,4.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,
A Uniyal,2.0,4.0,1.0,7.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,57.14285714285714,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,64.0,3.0,3.0,36.0,6.0,3.0,11.0,14.0,4.0,39.0,12.0,21.333333333333332,10.666666666666666,67.0
A Zampa,2.0,5.0,2.0,8.0,6.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,62.5,2.5,0.0,0.12,2.0,6.0,3.0,0.0,0.0,0.0,1.0,12.0,337.0,6.0,18.0,257.0,15.0,20.0,87.0,122.0,16.0,53.0,14.277777777777779,18.72222222222222,7.8677042801556425,343.0
AA Bilakhia,7.0,69.0,5.0,85.0,43.0,31.0,9.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,81.17647058823529,13.8,2.0,0.06,,,,,,,,,,,,,,,,,,,,,,
AA Chavan,3.0,12.0,1.0,11.0,5.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,109.09090909090908,12.0,2.0,0.18,7.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,318.0,21.0,8.0,248.0,28.0,16.0,117.0,79.0,14.0,41.0,31.0,39.75,7.693548387096774,339.0
AA Jhunjhunwala,15.0,217.0,14.0,210.0,98.0,82.0,13.0,19.0,5.0,53.0,1.0,1.0,0.0,0.0,103.33333333333334,15.5,1.0,0.11,9.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,126.0,4.0,1.0,85.0,10.0,5.0,31.0,31.0,10.0,27.0,85.0,126.0,8.894117647058824,130.0
