batter,bowler,runs_scored,wickets_taken,dot_balls,singles,fours,sixes,balls_faced,Player1,Player2,Match IDs,Innings Played
A Ashish Reddy,A Nehra,7,1,4,3,1,0,8,A Ashish Reddy,A Nehra,"[829773, 598044]",4
A Ashish Reddy,AB Dinda,9,0,1,5,1,0,7,A Ashish Reddy,AB Dinda,"[598018, 598000]",4
A Ashish Reddy,AD Mathews,25,0,2,5,1,2,12,A Ashish Reddy,AD Mathews,"[829731, 598018]",4
A Ashish Reddy,AD Russell,4,1,0,2,0,0,3,A Ashish Reddy,AD Russell,[980915],2
A Ashish Reddy,Anureet Singh,2,0,0,2,0,0,2,A Ashish Reddy,Anureet Singh,[829759],2
A Ashish Reddy,Azhar Mahmood,2,0,1,2,0,0,3,A Ashish Reddy,Azhar Mahmood,[598021],2
A Ashish Reddy,B Kumar,1,0,0,1,0,0,1,A Ashish Reddy,B Kumar,[598000],2
A Ashish Reddy,BW Hilfenhaus,2,1,1,0,0,0,2,A Ashish Reddy,BW Hilfenhaus,[548352],2
A Ashish Reddy,CH Morris,11,0,1,2,0,1,5,A Ashish Reddy,CH Morris,"[829727, 598030]",4
A Ashish Reddy,DJ Bravo,24,1,4,4,3,1,13,A Ashish Reddy,DJ Bravo,"[829773, 598030, 548352]",6
A Ashish Reddy,Harbhajan Singh,11,0,3,3,0,1,8,A Ashish Reddy,Harbhajan Singh,[829815],2
A Ashish Reddy,Imran Tahir,2,0,0,2,0,0,2,A Ashish Reddy,Imran Tahir,[829731],2
A Ashish Reddy,J Botha,0,0,2,0,0,0,2,A Ashish Reddy,J Botha,[598044],2
A Ashish Reddy,JEC Franklin,3,0,1,1,0,0,3,A Ashish Reddy,JEC Franklin,[548346],2
A Ashish Reddy,JP Duminy,1,0,0,1,0,0,1,A Ashish Reddy,JP Duminy,[829731],2
A Ashish Reddy,JP Faulkner,2,0,1,0,0,0,2,A Ashish Reddy,JP Faulkner,[598032],2
A Ashish Reddy,KA Pollard,3,1,1,1,0,0,3,A Ashish Reddy,KA Pollard,[829815],2
A Ashish Reddy,KK Cooper,8,0,1,2,1,0,5,A Ashish Reddy,KK Cooper,[598032],2
A Ashish Reddy,M Kartik,6,0,3,4,0,0,8,A Ashish Reddy,M Kartik,[598004],2
A Ashish Reddy,M Morkel,5,1,1,3,0,0,5,A Ashish Reddy,M Morkel,"[980915, 598010]",4
A Ashish Reddy,MG Johnson,7,0,0,1,1,0,3,A Ashish Reddy,MG Johnson,[829759],2
A Ashish Reddy,MM Patel,0,1,2,0,0,0,2,A Ashish Reddy,MM Patel,[548346],2
A Ashish Reddy,MM Sharma,7,0,0,1,0,1,2,A Ashish Reddy,MM Sharma,[598030],2
A Ashish Reddy,MR Marsh,3,0,0,3,0,0,3,A Ashish Reddy,MR Marsh,[598018],2
A Ashish Reddy,MS Gony,5,0,2,1,1,0,4,A Ashish Reddy,MS Gony,[598021],2
A Ashish Reddy,NM Coulter-Nile,0,1,1,0,0,0,1,A Ashish Reddy,NM Coulter-Nile,[829731],2
A Ashish Reddy,P Awana,0,1,1,0,0,0,1,A Ashish Reddy,P Awana,[548359],2
A Ashish Reddy,P Kumar,6,0,1,2,1,0,4,A Ashish Reddy,P Kumar,[548359],2
A Ashish Reddy,PP Chawla,2,0,0,2,0,0,2,A Ashish Reddy,PP Chawla,[548359],2
A Ashish Reddy,PV Tambe,3,0,1,3,0,0,4,A Ashish Reddy,PV Tambe,[829727],2
A Ashish Reddy,Parvez Rasool,18,0,2,4,2,1,9,A Ashish Reddy,Parvez Rasool,[980907],2
A Ashish Reddy,R Vinay Kumar,14,2,2,6,0,1,10,A Ashish Reddy,R Vinay Kumar,"[598048, 598004, 548376]",6
A Ashish Reddy,RJ Peterson,7,0,3,1,0,1,5,A Ashish Reddy,RJ Peterson,[548346],2
A Ashish Reddy,RP Singh,1,1,1,1,0,0,2,A Ashish Reddy,RP Singh,[598048],2
A Ashish Reddy,SL Malinga,3,0,2,1,0,0,4,A Ashish Reddy,SL Malinga,[829815],2
A Ashish Reddy,SMSM Senanayake,3,1,2,1,0,0,4,A Ashish Reddy,SMSM Senanayake,[598013],2
A Ashish Reddy,SP Narine,1,0,0,1,0,0,1,A Ashish Reddy,SP Narine,[598013],2
A Ashish Reddy,SR Watson,3,1,2,3,0,0,5,A Ashish Reddy,SR Watson,"[980953, 980907]",4
A Ashish Reddy,STR Binny,4,1,1,2,0,0,4,A Ashish Reddy,STR Binny,[598032],2
A Ashish Reddy,SW Tait,10,0,1,0,2,0,4,A Ashish Reddy,SW Tait,[548373],2
A Ashish Reddy,Sandeep Sharma,13,0,0,1,0,2,3,A Ashish Reddy,Sandeep Sharma,[829759],2
A Ashish Reddy,TG Southee,9,0,0,1,0,1,3,A Ashish Reddy,TG Southee,[829727],2
